frecuencia,palabra
12.50%,babosa
12.50%,baboso
12.50%,bastarda
12.50%,bastardo
3.10%,boba
3.10%,bobo
9.40%,buey
0,cabezahueca
6.30%,cochina
6.30%,cochino
0,depravado
0,escoria
0,guarra
0,guarro
59.40%,guey
28.10%,idiota
21.90%,imbecil
0,inepto
12.50%,infeliz
0,lela
0,lelo
25.00%,mamon
25.00%,mamona
6.30%,mandilon
3.10%,marrana
3.10%,marrano
18.80%,mensa
18.80%,menso
31.30%,mierda
3.10%,nefasta
3.10%,nefasto
0,pedorra
0,pedorro
53.10%,pendejo
40.60%,pinche
37.50%,puta
37.50%,puto
6.30%,ratera
6.30%,ratero
12.50%,ruca
12.50%,ruco
6.30%,tarada
6.30%,tarado
21.90%,tonta
21.90%,tonto
3.10%,vividor
